number,theme,subtheme,year,set_name,minifigs,pieces,price,value_new,value_used,launch_date,eol_date,category,numeric_data_nan,price_unadjusted,value_change_per
6712-1,Western,Cowboys,1996,Sheriff's Showdown,2.0,28.0,6.910184348934814,81.1,15.67,1996-01-09,1998-12-31,set,False,4.0,10.736300495731541
6716-1,Western,Cowboys,1996,Covered Wagon,1.0,64.0,13.820368697869627,152.52,39.78,1996-01-09,1998-12-31,set,False,8.0,10.03588502841538
6769-1,Western,Cowboys,1996,Fort Legoredo,10.0,687.0,146.84141741486476,400.0,223.58,1996-01-10,1998-12-31,set,False,85.0,1.7240270970001408
6518-1,Town,Coastguard,1996,Baja Buggy,1.0,37.0,6.046411305317961,15.14,5.53,1996-01-07,1997-12-31,set,False,3.5,1.503964622235344
6493-1,Time Cruisers,,1996,Flying Time Vessel,2.0,237.0,76.01202783828295,112.47,40.77,1996-01-07,1998-12-31,set,False,44.0,0.47963425261173254
4565-1,Trains,9V,1996,Freight and Crane Railway,3.0,914.0,241.8564522127185,547.04,196.08,1996-01-09,2002-12-31,set,False,140.0,1.2618375279848446
6492-1,Time Cruisers,,1996,Hypno Cruiser,2.0,152.0,38.00601391914147,70.0,24.75,1996-01-07,1998-12-31,set,False,22.0,0.841813775812595
8480-1,Technic,,1996,Space Shuttle,,1368.0,272.9522817829251,742.0,287.6,1996-01-08,1998-12-31,set,False,158.0,1.7184238767056783
8443-1,Technic,,1996,Pneumatic Log Loader,,327.0,101.92521914678849,274.45,67.92,1996-01-08,1998-12-31,set,False,59.0,1.6926603866776917
8408-1,Technic,,1996,Desert Ranger,,289.0,51.8263826170111,60.0,19.37,1996-01-08,1998-12-31,set,False,30.0,0.15771151622505977
6755-1,Western,Cowboys,1996,Sheriff's Lock-Up,4.0,176.0,43.18865218084258,375.0,56.07,1996-01-08,1998-12-31,set,False,25.0,7.682836371687947
6615-1,Town,Flight,1996,Eagle Stunt Flyer,1.0,76.0,15.116028263294906,56.4,9.82,1996-01-07,1997-12-31,set,False,8.75,2.731138829433906
6581-1,Town,Construction,1996,Dig 'N' Dump,2.0,127.0,22.88998565584657,54.59,11.82,1996-01-07,1997-12-31,set,False,13.25,1.3848857234236231
6491-1,Time Cruisers,,1996,Rocket Racer,1.0,58.0,7.773957392551665,20.43,3.18,1996-01-07,1998-12-31,set,False,4.5,1.6280051418308856
8456-1,Technic,,1996,Fiber Optic Multi Set,,404.0,127.83841045529404,132.1,55.76,1996-01-08,1998-12-31,set,False,74.0,0.033335751981962126
6135-1,Aquazone,Aquasharks,1996,Spy Shark,1.0,57.0,15.116028263294906,20.0,10.49,1996-01-01,1997-12-31,set,False,8.75,0.3230988756857824
6958-1,Space,Exploriens,1996,Android Base,3.0,267.0,69.10184348934814,338.54,69.19,1996-01-01,1997-12-31,set,False,40.0,3.899145708785397
6598-1,Town,Police,1996,Metro PD Station,8.0,552.0,114.01804175742441,270.69,95.75,1996-01-01,1997-12-31,set,False,66.0,1.3740979570224352
6145-1,Aquazone,Aquanauts,1996,Crystal Crawler,1.0,96.0,20.730553046804438,121.25,17.38,1996-01-04,1998-12-31,set,False,12.0,4.848855055928688
6337-1,Town,Racing,1996,Fast Track Finish,6.0,329.0,69.10184348934814,312.54,78.74,1996-01-07,1997-12-31,set,False,40.0,3.5228894660122525
6190-1,Aquazone,Aquasharks,1996,Shark's Crystal Cave,2.0,258.0,86.37730436168516,480.63,118.94,1996-01-07,1997-12-31,set,False,50.0,4.564308860432505
4559-1,Trains,9V,1996,Cargo Railway,7.0,842.0,224.58099134038142,585.0,179.09,1996-01-07,1999-01-30,set,False,130.0,1.604850911506385
6024-1,Castle,Dark Forest,1996,Bandit Ambush,2.0,59.0,11.229049567019072,132.69,50.39,1996-01-06,1998-12-31,set,False,6.5,10.816672391377168
6899-1,Space,Exploriens,1996,Nebula Outpost,2.0,158.0,25.91319130850555,65.03,24.78,1996-01-04,1997-12-31,set,False,15.0,1.509532663337188
6856-1,Space,Exploriens,1996,Planetary Decoder,1.0,80.0,13.820368697869627,37.91,9.76,1996-01-04,1997-12-31,set,False,8.0,1.7430527237557505
1817-1,Town,Special,1996,Sea Plane with Hut and Boat,3.0,135.0,25.91319130850555,53.95,47.72,1996-01-03,2001-12-31,set,False,15.0,1.0819512100113993
8244-1,Technic,,1996,Convertables,1.0,275.0,57.00902087871221,39.0,21.26,1996-01-01,1998-12-31,set,False,33.0,-0.31589774041246466
6982-1,Space,Exploriens,1996,Explorien Starship,4.0,662.0,138.20368697869628,312.0,114.7,1996-01-01,1997-12-31,set,False,80.0,1.2575374566388664
6334-1,Town,Leisure,1996,Wave Jump Racers,4.0,181.0,34.55092174467407,90.37,23.83,1996-01-07,1997-12-31,set,False,20.0,1.6155597430314659
8207-1,Technic,,1996,Dune Duster,,86.0,13.820368697869627,23.48,6.07,1996-01-01,1998-12-31,set,False,8.0,0.6989416500602751
6818-1,Space,UFO,1997,Cyborg Scout,1.0,35.0,5.064257903753308,18.42,5.94,1997-01-09,1998-12-31,set,False,3.0,2.637255517012327
8229-1,Technic,,1997,Tread Trekker,1.0,186.0,37.13789129419093,44.95,12.85,1997-01-01,1999-12-31,set,False,22.0,0.2103541271076701
6829-1,Space,UFO,1997,Radon Rover,1.0,52.0,10.128515807506616,46.11,8.13,1997-01-09,1998-12-31,set,False,6.0,3.5524932651856234
6836-1,Space,UFO,1997,V-Wing Fighter,1.0,40.0,6.752343871671078,30.0,7.93,1997-01-09,1998-12-31,set,False,4.0,3.4429016901616363
6915-1,Space,UFO,1997,Warp Wing Fighter,2.0,236.0,50.64257903753308,284.74,55.81,1997-01-09,1998-12-31,set,False,30.0,4.622541454473887
6975-1,Space,UFO,1997,Alien Avenger,4.0,369.0,101.28515807506616,559.63,87.06,1997-01-09,1998-12-31,set,False,60.0,4.525291273033681
6979-1,Space,UFO,1997,Interstellar Starfighter,3.0,292.0,135.04687743342157,354.29,97.99,1997-01-09,1998-12-31,set,False,80.0,1.6234593996789437
