year,theme,number,subtheme,set_name,minifigs,pieces,price,value_new,value_used,launch_date,eol_date,category,numeric_data_nan
1991,Duplo,36,0,36,25,36,7,9,15,0,0,36,36
1991,Service Packs,22,8,22,0,22,15,21,6,0,0,22,22
1991,Town,22,22,22,19,22,11,22,22,0,0,22,22
1991,Space,13,13,13,11,13,4,11,13,0,0,13,13
1991,Trains,12,12,12,7,12,11,12,12,0,0,12,12
1991,Basic,11,5,11,5,11,2,5,6,0,0,11,11
1991,Dacta,7,2,7,3,7,0,1,2,0,0,7,7
1991,Technic,6,1,6,0,6,2,6,6,0,0,6,6
1991,Pirates,5,2,5,5,5,4,5,5,0,0,5,5
1991,Boats,3,0,3,3,3,3,3,3,0,0,3,3
1991,Assorted,1,1,1,0,1,0,1,1,0,0,1,1
1991,Books,1,1,1,0,1,1,0,0,0,0,1,1
1991,Castle,1,1,1,1,1,0,0,1,0,0,1,1
1991,Model Team,1,0,1,0,1,1,1,1,0,0,1,1
1991,Promotional,1,1,1,0,1,0,1,1,0,0,1,1
1992,Town,27,27,27,26,27,19,24,27,0,0,27,27
1992,Duplo,17,4,17,10,17,5,3,6,0,0,17,17
1992,Basic,13,3,13,2,13,1,9,9,0,0,13,13
1992,Service Packs,12,10,12,0,12,8,12,4,0,0,12,12
1992,Castle,9,9,9,9,9,6,8,9,0,0,9,9
1992,Pirates,9,3,9,9,9,5,8,9,0,0,9,9
1992,Dacta,6,2,6,0,6,2,1,2,0,0,6,6
1992,Space,6,6,6,6,6,4,4,6,0,0,6,6
1992,Technic,6,0,6,0,6,6,6,6,0,0,6,6
1992,Assorted,1,1,1,1,1,1,1,1,0,0,1,1
1992,Promotional,1,1,1,0,1,0,0,1,0,0,1,1
1993,Duplo,31,10,31,21,31,9,11,15,0,0,31,31
1993,Service Packs,31,19,31,0,31,16,30,7,0,0,31,31
1993,Town,23,23,23,21,23,16,22,23,0,0,23,23
1993,Castle,14,14,14,12,14,10,13,13,0,0,14,14
1993,Space,12,12,12,11,12,9,11,11,0,0,12,12
1993,Basic,10,0,10,1,10,2,2,5,0,0,10,10
1993,Dacta,9,6,9,5,9,4,7,6,0,0,9,9
1993,Technic,8,4,8,1,8,7,8,8,0,0,8,8
1993,Pirates,6,2,6,6,6,5,6,6,0,0,6,6
1993,Trains,3,3,3,3,3,3,3,3,0,0,3,3
1993,Model Team,2,0,2,0,2,2,2,2,0,0,2,2
1993,Assorted,1,1,1,0,1,1,1,1,0,0,1,1
1993,Promotional,1,1,1,0,1,0,1,1,0,0,1,1
1994,Duplo,38,1,38,34,38,11,16,16,0,0,38,38
1994,Town,29,29,29,27,29,20,22,28,0,0,29,29
1994,Service Packs,17,11,17,0,17,13,17,5,0,0,17,17
1994,Pirates,13,8,13,12,13,6,9,13,0,0,13,13
1994,Basic,11,1,11,0,11,1,1,3,0,0,11,11
1994,Space,10,10,10,10,10,8,9,10,0,0,10,10
1994,Technic,8,2,8,0,8,5,8,8,0,0,8,8
1994,Belville,4,0,4,4,4,4,4,4,0,0,4,4
1994,Castle,4,4,4,4,4,2,4,4,0,0,4,4
1994,Assorted,3,3,3,0,3,1,2,2,0,0,3,3
1994,Trains,3,3,3,3,3,3,3,3,0,0,3,3
1994,Dacta,2,2,2,0,2,0,1,1,0,0,2,2
1994,Model Team,1,0,1,0,1,1,1,1,0,0,1,1
1995,Duplo,37,9,37,28,37,10,11,12,0,0,37,37
1995,Freestyle,28,0,28,5,28,14,19,14,0,0,28,28
1995,Town,21,21,21,20,21,15,21,20,0,0,21,21
1995,Service Packs,13,8,13,0,13,9,11,3,0,0,13,13
1995,Dacta,12,8,12,5,12,6,8,4,0,0,12,12
1995,Basic,10,0,10,0,10,1,6,7,0,0,10,10
1995,Technic,9,0,9,3,9,8,9,9,0,0,9,9
1995,Castle,7,7,7,7,7,6,7,7,0,0,7,7
1995,Aquazone,6,6,6,6,6,6,6,6,0,0,6,6
1995,Space,6,6,6,5,6,4,5,6,0,0,6,6
