word,occurances
pack,572
set,495
value,224
truck,206
bucket,186
lego,180
fire,176
bonus,175
bricks,154
city,151
police,150
building,142
super,140
with,139
battle,138
car,135
box,129
train,126
first,111
fun,109
vs,106
house,102
mini,101
helicopter,97
red,94
duplo,93
attack,91
rescue,87
dragon,86
star,86
fighter,86
castle,85
my,84
brick,83
station,82
space,82
at,81
man,80
wing,79
play,77
racer,76
race,75
jet,75
creative,74
basic,73
spider,72
team,69
plates,68
bike,67
farm,67
boat,67
black,66
plane,66
build,64
large,64
blue,63
starfighter,61
chase,59
adventure,59
ice,59
batman,58
calendar,58
minifigure,56
edition,56
heartlake,55
green,55
jungle,54
accessories,54
advent,53
starter,53
mech,53
road,52
tie,52
ultimate,52
imperial,51
transport,50
tower,49
baby,49
buggy,48
kit,48
friends,47
on,47
droid,47
holiday,47
escape,47
big,46
christmas,46
pod,45
animals,45
challenge,44
shuttle,44
motor,43
accessory,43
king,42
tree,42
power,42
sea,42
santa,40
ferrari,40
small,38
stunt,37
master,37
toa,37
town,37
park,37
party,36
kai,36
off,36
emma,36
ship,36
cube,36
white,36
jay,35
forest,35
beach,35
crane,35
bag,35
hogwarts,35
for,34
street,34
sensor,34
freestyle,34
stephanie,34
world,34
wars,34
patrol,33
microfighter,33
up,33
wheels,33
air,33
iron,33
airport,33
medium,32
cruiser,32
treasure,32
pirate,32
loader,32
cart,31
olivia,31
jedi,31
island,31
collection,31
tub,31
base,31
cole,31
light,31
andrea,31
speeder,30
monster,30
turbo,30
ninja,30
guard,30
transporter,30
construction,29
mia,29
birthday,29
water,29
cargo,29
adventures,29
horse,29
shop,29
zoo,29
captain,29
racing,29
tank,29
bulk,28
speed,28
family,28
stack,28
royal,28
lloyd,28
bus,27
flyer,27
learn,27
stand,27
go,27
technic,27
zane,26
room,26
mobile,26
gift,26
mission,26
walker,26
anniversary,25
training,25
robot,25
ambush,25
dark,25
ninjago,25
dog,25
special,25
track,25
tiles,25
rex,25
dino,25
easter,24
palace,24
grey,24
chopper,24
arctic,24
desert,24
tractor,24
store,24
spinjitzu,24
chi,24
roof,24
republic,24
pursuit,24
day,24
mighty,24
mickey,23
tow,23
xl,23
bunny,23
winter,23
showdown,23
animal,23
joker,23
van,23
deep,23
order,23
deluxe,23
heavy,22
parts,22
carriage,22
time,22
crawler,22
league,22
flying,22
falcon,22
control,22
beast,22
shark,22
heart,22
trial,21
crusher,21
mountain,21
workshop,21
express,21
command,21
duel,21
knight,21
series,21
version,21
your,21
sub,21
temple,21
hot,21
thunder,21
cat,21
playground,21
frame,21
assorted,20
village,20
machine,20
scout,20
rocket,20
lion,20
cool,20
skull,20
alien,20
rebel,20
little,20
swamp,19
summer,19
knights,19
snow,19
sky,19
scooter,19
bat,19
show,19
coast,19
micros,19
unit,19
darth,19
clone,19
halloween,19
fortress,19
interceptor,19
rally,19
creator,19
bear,19
classic,19
wagon,18
princess,18
explorer,18
turtle,18
assault,18
pirates,18
cream,18
magical,18
harry,18
action,18
cars,18
penguin,18
vehicles,18
own,18
batmobile,18
wheel,18
blaster,18
glider,18
grand,17
destroyer,17
ii,17
roader,17
exploration,17
home,17
to,17
th,17
cinderella,17
mouse,17
stone,17
puppy,17
trooper,17
duck,17
catapult,17
ariel,17
millennium,17
size,17
bird,17
emmet,17
yellow,17
dinosaur,17
gunship,17
extra,17
avengers,17
elements,16
sith,16
robo,16
scorpion,16
lab,16
figure,16
snowspeeder,16
picture,16
secret,16
crystal,16
bridge,16
brown,16
community,16
cycle,16
chief,16
studio,16
school,16
river,16
digger,16
vehicle,16
racers,16
level,16
